Model Number, Brand, Gender, Function, Sub Function, Movement, Dial Color, Strap Color, Strap Material, Glass Material, Product, Case Shape, Case Material, Case Thickness, Case length, Case Width, Lock Mechanism, Water Resistance, Warranty Period, Short Description, Active Image, First Side Image, Second Side Image, Third Side Image, Fourth Side Image 
 NH2527YM01,Titan,Women,Analog,Plain 2 Hands,Quartz,Silver,Brown,Leather,Mineral Glass,Watches,Round,Brass,8.2 mm,46 mm,39 mm,Buckle,3 ATM,24 Months,Titan Karishma Watch for Women,https://staticimg.titan.co.in/production/India/Titan/detail/NH2527YM01.jpg,https://staticimg.titan.co.in/production/India/Titan/detail2/NH2527YM01.jpg,https://staticimg.titan.co.in/production/India/Titan/detail3/NH2527YM01.jpg,https://staticimg.titan.co.in/production/India/Titan/detail4/NH2527YM01.jpg,https://staticimg.titan.co.in/production/India/Titan/detail5/NH2527YM01.jpg,
9972QM01J,Titan,Women,Analog,Plain 2 Hands,Quartz,Black,Grey,Brass,Mineral Glass,Watches,Round,Brass,7.1 mm,57.4 mm,32 mm,Jewellery,3 ATM,24 Months,Titan Raga Analog Watch for Women,https://staticimg.titan.co.in/production/India/Titan/detail/9972QM01J.jpg,https://staticimg.titan.co.in/production/India/Titan/detail2/9972QM01J.jpg,https://staticimg.titan.co.in/production/India/Titan/detail3/9972QM01J.jpg,https://staticimg.titan.co.in/production/India/Titan/detail4/9972QM01J.jpg,https://staticimg.titan.co.in/production/India/Titan/detail5/9972QM01J.jpg,
1593SL01,Titan,Men,Analog,Analog,Black,Black,Leather,Watches,Rectangle,Stainless Steel,Buckle,5 ATM,24 Months,Black Dial Leather Strap Watch,https://staticimg.titan.co.in/production/India/Titan/detail/1593SL01.jpg,https://staticimg.titan.co.in/production/India/Titan/detail2/1593SL01.jpg,https://staticimg.titan.co.in/production/India/Titan/detail3/1593SL01.jpg,https://staticimg.titan.co.in/production/India/Titan/detail4/1593SL01.jpg,https://staticimg.titan.co.in/production/India/Titan/detail5/1593SL01.jpg,
NF9965SM01J,Titan,Women,Analog,Analog with Day and Date,Quartz,Mother Of Pearl,Silver,Stainless Steel,Watches,Round,Stainless Steel,10 mm,46.5 mm,38.5 mm,5 ATM,24 Months,Mother Of Pearl Dial Stainless Steel Strap Watch,https://staticimg.titan.co.in/production/India/Titan/detail/NF9965SM01J.jpg,https://staticimg.titan.co.in/production/India/Titan/detail2/NF9965SM01J.jpg,https://staticimg.titan.co.in/production/India/Titan/detail3/NF9965SM01J.jpg,https://staticimg.titan.co.in/production/India/Titan/detail4/NF9965SM01J.jpg,https://staticimg.titan.co.in/production/India/Titan/detail5/NF9965SM01J.jpg,
NE2502SL02,Titan,Women,Analog,Analog,Quartz,Silver,Black,Leather,Mineral Glass,Watches,Round,Stainless Steel,7.65 mm,31 mm,31.6 mm,Buckle,5 ATM,24 Months,Silver Dial Leather Strap Watch,https://staticimg.titan.co.in/production/India/Titan/detail/NE2502SL02.jpg,https://staticimg.titan.co.in/production/India/Titan/detail2/NE2502SL02.jpg,https://staticimg.titan.co.in/production/India/Titan/detail3/NE2502SL02.jpg,https://staticimg.titan.co.in/production/India/Titan/detail4/NE2502SL02.jpg,https://staticimg.titan.co.in/production/India/Titan/detail5/NE2502SL02.jpg,
2526QL02,Titan,Women,Analog,Plain 3 Hands,Solar,Black,Blue,Leather,Mineral Glass,Watches,Round,Stainless Steel,11.3 mm,48 mm,40 mm,Buckle,5 ATM,24 Months,Titan HTSE Analog Watch for Women,https://staticimg.titan.co.in/production/India/Titan/detail/2526QL02.jpg,https://staticimg.titan.co.in/production/India/Titan/detail2/2526QL02.jpg,https://staticimg.titan.co.in/production/India/Titan/detail3/2526QL02.jpg,https://staticimg.titan.co.in/production/India/Titan/detail4/2526QL02.jpg,https://staticimg.titan.co.in/production/India/Titan/detail5/2526QL02.jpg,
NH90022SL01E,Titan,Men,Chronograph,Quartz,Brown,Brown,Leather,Classique,Watches,Round,Stainless Steel,Buckle,5 ATM,24 Months,Brown Dial Chronograph Watch,https://staticimg.titan.co.in/production/India/Titan/detail/NH90022SL01E.jpg,https://staticimg.titan.co.in/production/India/Titan/detail2/NH90022SL01E.jpg,https://staticimg.titan.co.in/production/India/Titan/detail3/NH90022SL01E.jpg,https://staticimg.titan.co.in/production/India/Titan/detail4/NH90022SL01E.jpg,https://staticimg.titan.co.in/production/India/Titan/detail5/NH90022SL01E.jpg,
1593SL03,Titan,Men,Analog,Plain 3 Hands,Quartz,Black,Black,Leather,Mineral Glass,Watches,Rectangle,Stainless Steel,Buckle,5 ATM,24 Months,Black Dial Leather Strap Watch,https://staticimg.titan.co.in/production/India/Titan/detail/1593SL03.jpg,https://staticimg.titan.co.in/production/India/Titan/detail2/1593SL03.jpg,https://staticimg.titan.co.in/production/India/Titan/detail3/1593SL03.jpg,https://staticimg.titan.co.in/production/India/Titan/detail4/1593SL03.jpg,https://staticimg.titan.co.in/production/India/Titan/detail5/1593SL03.jpg,
NH2401YM05,Titan,Women,Analog,Plain 3 hands,Quartz,Black,Golden,Metal,Mineral Glass,Watches,Round,Brass,6.25 mm,27.2 mm,21.2 mm,3-Piece Sliding Clasp,3 ATM,24 Months,Titan Karishma Analog Watch for Women,https://staticimg.titan.co.in/production/India/Titan/detail/NH2401YM05.jpg,https://staticimg.titan.co.in/production/India/Titan/detail2/NH2401YM05.jpg,https://staticimg.titan.co.in/production/India/Titan/detail3/NH2401YM05.jpg,https://staticimg.titan.co.in/production/India/Titan/detail4/NH2401YM05.jpg,https://staticimg.titan.co.in/production/India/Titan/detail5/NH2401YM05.jpg,
NH90013SD01J,Titan,Men,Analog,Analog with Date,Quartz,White,White,Bi Metal,Watches,Square,Stainless Steel,5 ATM,24 Months,White Dial Bi-Metal Strap Watch,https://staticimg.titan.co.in/production/India/Titan/detail/NH90013SD01J.jpg,https://staticimg.titan.co.in/production/India/Titan/detail2/NH90013SD01J.jpg,https://staticimg.titan.co.in/production/India/Titan/detail3/NH90013SD01J.jpg,https://staticimg.titan.co.in/production/India/Titan/detail4/NH90013SD01J.jpg,https://staticimg.titan.co.in/production/India/Titan/detail5/NH90013SD01J.jpg,
